Values|Definition
NEW ALMELO|Postal Community in or bordering Kansas
NEW CAMBRIA|Postal Community in or bordering Kansas
NEW CENTURY|Postal Community in or bordering Kansas
NEW POINT|Postal Community in or bordering Kansas
NEW SALEM|Postal Community in or bordering Kansas
NEW STRAWN|Postal Community in or bordering Kansas
NEWKIRK|Postal Community in or bordering Kansas
NEWTON|Postal Community in or bordering Kansas
NICKERSON|Postal Community in or bordering Kansas
NIOTAZE|Postal Community in or bordering Kansas
NORCATUR|Postal Community in or bordering Kansas
NORTH KANSAS CITY|Postal Community in or bordering Kansas
NORTH NEWTON|Postal Community in or bordering Kansas
NORTH WICHITA|Postal Community in or bordering Kansas
NORTHMOOR|Postal Community in or bordering Kansas
NORTON|Postal Community in or bordering Kansas
NORTONVILLE|Postal Community in or bordering Kansas
NORWAY|Postal Community in or bordering Kansas
NORWICH|Postal Community in or bordering Kansas
NW POINT|Postal Community in or bordering Kansas
OAKHILL|Postal Community in or bordering Kansas
OAKLAWN|Postal Community in or bordering Kansas
OAKLEY|Postal Community in or bordering Kansas
OATVILLE|Postal Community in or bordering Kansas
OBERLIN|Postal Community in or bordering Kansas
ODELL|Postal Community in or bordering Kansas
ODIN|Postal Community in or bordering Kansas
OFFERLE|Postal Community in or bordering Kansas
OGALLAH|Postal Community in or bordering Kansas
OGDEN|Postal Community in or bordering Kansas
OKETO|Postal Community in or bordering Kansas
OLATHE|Postal Community in or bordering Kansas
OLIVET|Postal Community in or bordering Kansas
OLMITZ|Postal Community in or bordering Kansas
OLPE|Postal Community in or bordering Kansas
OLSBURG|Postal Community in or bordering Kansas
ONAGA|Postal Community in or bordering Kansas
ONEIDA|Postal Community in or bordering Kansas
OP|Postal Community in or bordering Kansas
OPOLIS|Postal Community in or bordering Kansas
OPTIMA|Postal Community in or bordering Kansas
OREGON|Postal Community in or bordering Kansas
ORLEANS|Postal Community in or bordering Kansas
OSAGE CITY|Postal Community in or bordering Kansas
OSAWATOMIE|Postal Community in or bordering Kansas
OSBORNE|Postal Community in or bordering Kansas
OSKALOOSA|Postal Community in or bordering Kansas
OSWEGO|Postal Community in or bordering Kansas
OTIS|Postal Community in or bordering Kansas
OTTAWA|Postal Community in or bordering Kansas
OVERBROOK|Postal Community in or bordering Kansas
OVERLAND|Postal Community in or bordering Kansas
OVERLAND PARK|Postal Community in or bordering Kansas
OXFORD|Postal Community in or bordering Kansas
OZAWKIE|Postal Community in or bordering Kansas
PALCO|Postal Community in or bordering Kansas
PALMER|Postal Community in or bordering Kansas
PAOLA|Postal Community in or bordering Kansas
PARADISE|Postal Community in or bordering Kansas
PARK|Postal Community in or bordering Kansas
PARK CITY|Postal Community in or bordering Kansas
PARKER|Postal Community in or bordering Kansas
PARKERFIELD|Postal Community in or bordering Kansas
PARKS|Postal Community in or bordering Kansas
PARKVILLE|Postal Community in or bordering Kansas
PARSONS|Postal Community in or bordering Kansas
PARTRIDGE|Postal Community in or bordering Kansas
PAWHUSKA|Postal Community in or bordering Kansas
PAWNEE CITY|Postal Community in or bordering Kansas
PAWNEE ROCK|Postal Community in or bordering Kansas
PAXICO|Postal Community in or bordering Kansas
PEABODY|Postal Community in or bordering Kansas
PECK|Postal Community in or bordering Kansas
PECKHAM|Postal Community in or bordering Kansas
PENALOSA|Postal Community in or bordering Kansas
PENOKEE|Postal Community in or bordering Kansas
PEORIA|Postal Community in or bordering Kansas
PERRY|Postal Community in or bordering Kansas
PERU|Postal Community in or bordering Kansas
PETROLIA|Postal Community in or bordering Kansas
PFEIFER|Postal Community in or bordering Kansas
PHILLIPSBURG|Postal Community in or bordering Kansas
PICHER|Postal Community in or bordering Kansas
PIEDMONT|Postal Community in or bordering Kansas
PIERCEVILLE|Postal Community in or bordering Kansas
PIQUA|Postal Community in or bordering Kansas
PITTSBURG|Postal Community in or bordering Kansas
PLAINS|Postal Community in or bordering Kansas
PLAINVILLE|Postal Community in or bordering Kansas
PLANEVIEW|Postal Community in or bordering Kansas
PLATTE CITY|Postal Community in or bordering Kansas
PLEASANTON|Postal Community in or bordering Kansas
PLEVNA|Postal Community in or bordering Kansas
POMONA|Postal Community in or bordering Kansas
PORTERVILLE|Postal Community in or bordering Kansas
PORTIS|Postal Community in or bordering Kansas
POTTER|Postal Community in or bordering Kansas
POTWIN|Postal Community in or bordering Kansas
POWHATTAN|Postal Community in or bordering Kansas
PRAIRIE VIEW|Postal Community in or bordering Kansas
PRAIRIE VILLAGE|Postal Community in or bordering Kansas
PRATT|Postal Community in or bordering Kansas
PRESCOTT|Postal Community in or bordering Kansas
PRESTON|Postal Community in or bordering Kansas
PRETTY PR|Postal Community in or bordering Kansas
PRETTY PRAIRE|Postal Community in or bordering Kansas
PRETTY PRAIRIE|Postal Community in or bordering Kansas
PRINCETON|Postal Community in or bordering Kansas
PROTECTION|Postal Community in or bordering Kansas
QUAKER|Postal Community in or bordering Kansas
QUAPAW|Postal Community in or bordering Kansas
QUENEMO|Postal Community in or bordering Kansas
QUINTER|Postal Community in or bordering Kansas
QUIVIRA|Postal Community in or bordering Kansas
RADIUM|Postal Community in or bordering Kansas
RADLEY|Postal Community in or bordering Kansas
RAGO|Postal Community in or bordering Kansas
RAMONA|Postal Community in or bordering Kansas
RANDALL|Postal Community in or bordering Kansas
RANDOLPH|Postal Community in or bordering Kansas
RANSOM|Postal Community in or bordering Kansas
RANTOUL|Postal Community in or bordering Kansas
RAYMOND|Postal Community in or bordering Kansas
READING|Postal Community in or bordering Kansas
RED CLOUD|Postal Community in or bordering Kansas
REDFIELD|Postal Community in or bordering Kansas
REECE|Postal Community in or bordering Kansas
RENFROW|Postal Community in or bordering Kansas
REPUB CITY|Postal Community in or bordering Kansas
REPUBLIC|Postal Community in or bordering Kansas
REPUBLICAN CITY|Postal Community in or bordering Kansas
RESERVE|Postal Community in or bordering Kansas
REXFORD|Postal Community in or bordering Kansas
REYNOLDS|Postal Community in or bordering Kansas
RICE|Postal Community in or bordering Kansas
RICHARDS|Postal Community in or bordering Kansas
RICHFIELD|Postal Community in or bordering Kansas
RICHMOND|Postal Community in or bordering Kansas
RILEY|Postal Community in or bordering Kansas
RINGO|Postal Community in or bordering Kansas
RIVERDALE|Postal Community in or bordering Kansas
RIVERSIDE|Postal Community in or bordering Kansas
RIVERTON|Postal Community in or bordering Kansas
ROBINSON|Postal Community in or bordering Kansas
ROCK|Postal Community in or bordering Kansas
ROELAND PARK|Postal Community in or bordering Kansas
ROLLA|Postal Community in or bordering Kansas
ROPER|Postal Community in or bordering Kansas
ROSALIA|Postal Community in or bordering Kansas
ROSE|Postal Community in or bordering Kansas
ROSE HILL|Postal Community in or bordering Kansas
ROSEDALE|Postal Community in or bordering Kansas
ROSEHILL|Postal Community in or bordering Kansas
ROSELAND|Postal Community in or bordering Kansas
ROSSTON|Postal Community in or bordering Kansas
ROSSVILLE|Postal Community in or bordering Kansas
ROXBURY|Postal Community in or bordering Kansas
ROZEL|Postal Community in or bordering Kansas
RULO|Postal Community in or bordering Kansas
RUSH CENTER|Postal Community in or bordering Kansas
RUSHVILLE|Postal Community in or bordering Kansas
RUSSELL|Postal Community in or bordering Kansas
RUSSELL SPRING|Postal Community in or bordering Kansas
RUSSELL SPRINGS|Postal Community in or bordering Kansas
S COFFEYVILLE|Postal Community in or bordering Kansas
S HUTCHINSON|Postal Community in or bordering Kansas
SABETHA|Postal Community in or bordering Kansas
SAINT FRANCIS|Postal Community in or bordering Kansas
SAINT GEORGE|Postal Community in or bordering Kansas
SAINT JOHN|Postal Community in or bordering Kansas
SAINT JOSEPH|Postal Community in or bordering Kansas
SAINT MARYS|Postal Community in or bordering Kansas
SAINT PAUL|Postal Community in or bordering Kansas
SALEM|Postal Community in or bordering Kansas
SALINA|Postal Community in or bordering Kansas
SATANTA|Postal Community in or bordering Kansas
SAVONBURG|Postal Community in or bordering Kansas
SAWYER|Postal Community in or bordering Kansas
SCAMMON|Postal Community in or bordering Kansas
SCANDIA|Postal Community in or bordering Kansas
SCHOENCHEN|Postal Community in or bordering Kansas
SCHULTE|Postal Community in or bordering Kansas
SCOTT CITY|Postal Community in or bordering Kansas
SCOTTSVILLE|Postal Community in or bordering Kansas
SCRANTON|Postal Community in or bordering Kansas
SECURITY BENEFIT LIFE|Postal Community in or bordering Kansas
SEDAN|Postal Community in or bordering Kansas
SEDGWICK|Postal Community in or bordering Kansas
SELDEN|Postal Community in or bordering Kansas
SELKIRK|Postal Community in or bordering Kansas
SELMAN|Postal Community in or bordering Kansas
SENECA|Postal Community in or bordering Kansas
SEVERANCE|Postal Community in or bordering Kansas
SEVERY|Postal Community in or bordering Kansas
SEWARD|Postal Community in or bordering Kansas
SHARON|Postal Community in or bordering Kansas
SHARON SPGS|Postal Community in or bordering Kansas
SHARON SPRINGS|Postal Community in or bordering Kansas
SHAWNEE|Postal Community in or bordering Kansas
SHAWNEE MISSION|Postal Community in or bordering Kansas
SHAWNEE MSN|Postal Community in or bordering Kansas
SHERIDAN LAKE|Postal Community in or bordering Kansas
SHERWIN|Postal Community in or bordering Kansas
SHIDLER|Postal Community in or bordering Kansas
SHIELDS|Postal Community in or bordering Kansas
SIEBOLDT|Postal Community in or bordering Kansas
SILVER LAKE|Postal Community in or bordering Kansas
SILVERDALE|Postal Community in or bordering Kansas
SIMPSON|Postal Community in or bordering Kansas
SIMS|Postal Community in or bordering Kansas
SKIDMORE|Postal Community in or bordering Kansas
SMITH CENTER|Postal Community in or bordering Kansas
SMOLAN|Postal Community in or bordering Kansas
SOLDIER|Postal Community in or bordering Kansas
SOLOMON|Postal Community in or bordering Kansas
SOUTH HAVEN|Postal Community in or bordering Kansas
SOUTH HUTCHINSON|Postal Community in or bordering Kansas
SPEARVILLE|Postal Community in or bordering Kansas
SPIVEY|Postal Community in or bordering Kansas
SPRING GROVE|Postal Community in or bordering Kansas
SPRING HILL|Postal Community in or bordering Kansas
SPRINT CORPORATION|Postal Community in or bordering Kansas
ST BENEDICT|Postal Community in or bordering Kansas
ST FRANCIS|Postal Community in or bordering Kansas
ST GEORGE|Postal Community in or bordering Kansas
ST JOHN|Postal Community in or bordering Kansas
ST MARYS|Postal Community in or bordering Kansas
ST PAUL|Postal Community in or bordering Kansas
STAFFORD|Postal Community in or bordering Kansas
STAMFORD|Postal Community in or bordering Kansas
STANLEY|Postal Community in or bordering Kansas
STARK|Postal Community in or bordering Kansas
STEELE CITY|Postal Community in or bordering Kansas
STERLING|Postal Community in or bordering Kansas
STILWELL|Postal Community in or bordering Kansas
STIPPVILLE|Postal Community in or bordering Kansas
STOCKTON|Postal Community in or bordering Kansas
STONINGTON|Postal Community in or bordering Kansas
STOTESBURY|Postal Community in or bordering Kansas
STRATTON|Postal Community in or bordering Kansas
STRAUSS|Postal Community in or bordering Kansas
STRONG CITY|Postal Community in or bordering Kansas
STUDLEY|Postal Community in or bordering Kansas
STUTTGART|Postal Community in or bordering Kansas
SUBLETTE|Postal Community in or bordering Kansas
SUMMERFIELD|Postal Community in or bordering Kansas
SUN CITY|Postal Community in or bordering Kansas
SUPERIOR|Postal Community in or bordering Kansas
SUSANK|Postal Community in or bordering Kansas
SYCAMORE|Postal Community in or bordering Kansas
SYLVAN GROVE|Postal Community in or bordering Kansas
SYLVIA|Postal Community in or bordering Kansas
SYRACUSE|Postal Community in or bordering Kansas
TALMAGE|Postal Community in or bordering Kansas
TAMPA|Postal Community in or bordering Kansas
TECUMSEH|Postal Community in or bordering Kansas
TESCOTT|Postal Community in or bordering Kansas
THAYER|Postal Community in or bordering Kansas
TIMKEN|Postal Community in or bordering Kansas
TIPTON|Postal Community in or bordering Kansas
TONGANOXIE|Postal Community in or bordering Kansas
TOPEKA|Postal Community in or bordering Kansas
TORONTO|Postal Community in or bordering Kansas
TOWANDA|Postal Community in or bordering Kansas
TOWNER|Postal Community in or bordering Kansas
TREECE|Postal Community in or bordering Kansas
TRENTON|Postal Community in or bordering Kansas
TRIBUNE|Postal Community in or bordering Kansas
TROUSDALE|Postal Community in or bordering Kansas
TROY|Postal Community in or bordering Kansas
TURON|Postal Community in or bordering Kansas
TURPIN|Postal Community in or bordering Kansas
TYRO|Postal Community in or bordering Kansas
TYRONE|Postal Community in or bordering Kansas
UDALL|Postal Community in or bordering Kansas
ULYSSES|Postal Community in or bordering Kansas
UNIONTOWN|Postal Community in or bordering Kansas
UNIVERSITY OF KANSAS|Postal Community in or bordering Kansas
UTICA|Postal Community in or bordering Kansas
VA HOSPITAL|Postal Community in or bordering Kansas
VALLEY CENTER|Postal Community in or bordering Kansas
VALLEY FALLS|Postal Community in or bordering Kansas
VASSAR|Postal Community in or bordering Kansas
VERMILLION|Postal Community in or bordering Kansas
VERNON|Postal Community in or bordering Kansas
VICTORIA|Postal Community in or bordering Kansas
VILLAGE OF LOCH LLOYD|Postal Community in or bordering Kansas
VIOLA|Postal Community in or bordering Kansas
VIRGIL|Postal Community in or bordering Kansas
VLG LOCH LOYD|Postal Community in or bordering Kansas
VLIETS|Postal Community in or bordering Kansas
WA KEENEY|Postal Community in or bordering Kansas
WAKARUSA|Postal Community in or bordering Kansas
WAKEENEY|Postal Community in or bordering Kansas
WAKEFIELD|Postal Community in or bordering Kansas
WALDO|Postal Community in or bordering Kansas
WALDRON|Postal Community in or bordering Kansas
WALKER|Postal Community in or bordering Kansas
WALLACE|Postal Community in or bordering Kansas
WALNUT|Postal Community in or bordering Kansas
WALSH|Postal Community in or bordering Kansas
WALTON|Postal Community in or bordering Kansas
WAMEGO|Postal Community in or bordering Kansas
WANN|Postal Community in or bordering Kansas
WASHINGTON|Postal Community in or bordering Kansas
WATERVILLE|Postal Community in or bordering Kansas
WATHENA|Postal Community in or bordering Kansas
WAVERLY|Postal Community in or bordering Kansas
WEBB CITY|Postal Community in or bordering Kansas
WEBBER|Postal Community in or bordering Kansas
WEIR|Postal Community in or bordering Kansas
WELCH|Postal Community in or bordering Kansas
WELDA|Postal Community in or bordering Kansas
WELLINGTON|Postal Community in or bordering Kansas
WELLS|Postal Community in or bordering Kansas
WELLSVILLE|Postal Community in or bordering Kansas
WESKAN|Postal Community in or bordering Kansas
WEST LINE|Postal Community in or bordering Kansas
WEST MINERAL|Postal Community in or bordering Kansas
WESTFALL|Postal Community in or bordering Kansas
WESTMORELAND|Postal Community in or bordering Kansas
WESTON|Postal Community in or bordering Kansas
WESTPHALIA|Postal Community in or bordering Kansas
WESTWOOD|Postal Community in or bordering Kansas
WESTWOOD HILLS|Postal Community in or bordering Kansas
WETMORE|Postal Community in or bordering Kansas
WHEATON|Postal Community in or bordering Kansas
WHEELER|Postal Community in or bordering Kansas
WHITE CITY|Postal Community in or bordering Kansas
WHITE CLOUD|Postal Community in or bordering Kansas
WHITEWATER|Postal Community in or bordering Kansas
WHITING|Postal Community in or bordering Kansas
WICHITA|Postal Community in or bordering Kansas
WICHITA STATE UNIVERSITY|Postal Community in or bordering Kansas
WILLIAMSBURG|Postal Community in or bordering Kansas
WILLIS|Postal Community in or bordering Kansas
WILLOWBROOK|Postal Community in or bordering Kansas
WILMORE|Postal Community in or bordering Kansas
WILSEY|Postal Community in or bordering Kansas
WILSON|Postal Community in or bordering Kansas
WILSONVILLE|Postal Community in or bordering Kansas
WINCHESTER|Postal Community in or bordering Kansas
WINDOM|Postal Community in or bordering Kansas
WINFIELD|Postal Community in or bordering Kansas
WINONA|Postal Community in or bordering Kansas
WOODBINE|Postal Community in or bordering Kansas
WOODSTON|Postal Community in or bordering Kansas
WRAY|Postal Community in or bordering Kansas
WRIGHT|Postal Community in or bordering Kansas
WYMORE|Postal Community in or bordering Kansas
XENIA|Postal Community in or bordering Kansas
YATES CENTER|Postal Community in or bordering Kansas
YODER|Postal Community in or bordering Kansas
ZENDA|Postal Community in or bordering Kansas
ZIMMERDALE|Postal Community in or bordering Kansas
ZURICH|Postal Community in or bordering Kansas
